CMS.exe	BusinessObjects Enterprise 11.5
CNAB4RPK.EXE	Canon Advanced Printing
CNAB5RPK.EXE	Canon
CNAB8SWK.EXE	Canon
CNABASWK.EXE	Canon
CNAP2LAK.EXE	Canon
CNTAoSMgr.exe	!!! TrendMicro OfficeScan !!!
CPDataCollector	SCApplications Performance Data Collector
CPQEADM.exe	Compaq Multimedia
CPQMGMT.EXE	CQPMgmt Insight Agents
CPQRCMC.EXE	Compaq Remote Monitor Service
CPS_BUFTPD.exe	AP/CPS Switch Control
CPntSrv.exe	!!! Panda !!!
CRServices.exe	Conference Room ?
CRStatus.exe	Conference Room ?
CReadSVC.EXE	Cisco Reader?
CReadSVC.exe	Cisco Reader?
CSAdmin.exe	CSAdmin
CSAuth.exe	CSAuth
CSController.exe	Proventia Webfilter ISA
CSDBSync.exe	CSDbSync
CSDbSync.exe	CSDbSync
CSFalcon.exe	!!! Crowdstrike Falcon !!!
CSLog.exe	Cisco ACS
CSMon.exe	CSMon
CSRadius.exe	Cisco ACS
CSTacacs.exe	CSTacacs
CStudio.exe	InterSystems Cache Studio
CTDataLoad.exe	!!! Altiris !!!
CTLauncher.EXE	Creative Labs SoundBlaster Launcher
CTMIX32.EXE	Creative Labs Mixer
CUTFTP32.EXE	Cute FTP
CWB_ipmAgingSer	Cisco Internetwork Performance Monitor
CWB_ipmAgingServ.exe	Cisco Works
CWB_ipmConfigSe	Cisco Internetwork Performance Monitor
CWB_ipmConfigServerd.exe	Cisco Works
CWB_ipmDBServ.e	Cisco Internetwork Performance Monitor
CWB_ipmDBServ.exe	Cisco Internetwork Performance Monitor
CWB_ipmDataView	Cisco Internetwork Performance Monitor
CWB_ipmDataViewServer.exe	Cisco Works
CWB_ipmData_col	Cisco Internetwork Performance Monitor
CWB_ipmData_colld.exe	Cisco Works
CWB_ipmNameServ	Cisco Internetwork Performance Monitor
CWB_ipmNameServ.exe	Cisco Works
CWB_ipmPMServ.e	Cisco Internetwork Performance Monitor
CWB_ipmPMServ.exe	Cisco Works
CWB_ipmRTPServe	Cisco Internetwork Performance Monitor
CWB_ipmRTPServer.exe	Cisco Works
CWB_ipmSnmpd.ex	Cisco Internetwork Performance Monitor
CWB_ipmSnmpd.exe	Cisco Internetwork Performance Monitor
CWB_ipmStopper.	Cisco Internetwork Performance Monitor
CWB_ipmStopper.exe	Cisco Internetwork Performance Monitor
CWB_msgLogServe	Cisco Internetwork Performance Monitor
CWB_msgLogServer.exe	Cisco Works
Cacheset.exe	+++ Potential Admin/Analyst Tool +++
CalHelper.exe	Blackberry software
CameraAssistant.exe	Logitech QuickCam Assistant
CameraMonitor.exe	Pixela ImageMixer
CardView.exe	Modem Card Program?
CatTools_Client.exe	Kiwi CatTools Network Management
CatTools_Service.exe	Kiwi CatTools Network Management
Catirpc.exe	BrightStor ARCserve Backup
Cau.exe	Huawei iManager T2000 Element Management Software
CcmExec.exe	Microsoft SMS Agent Host
Ccmexec.exe	Microsoft SMS Agent Host
CdfSvc.exe	Citrix VM Server
CertificationManagerServiceNT.exe	!!! Sophos Control Center !!!
ChatSpace.exe	ChatSpace server
ChessProgram9.exe	1C Junior10 Chess Program
Cimntfy.exe	HP Event Notifier
Cisco-Config-Viewer.exe	Solarwinds tool
CiscoRunVsStartup.exe	Solarwinds tool
Citrix_GTLicensingProv.exe	Citrix VM Server
ClShield.exe	!!! Panda !!!
ClamTray.exe	!!! ClamAV !!!
ClamWin.exe	!!! ClamAV !!!
Clockres.exe	+++ Potential Admin/Analyst Tool +++
Clockres64.exe	+++ Potential Admin/Analyst Tool +++
CloneCDTray.exe	Elby CloneCD Tray Bar
CnxMon.exe	Wanadoo
Cobian.exe	Cobian Backup
Collectoragent.exe	Fortinet Server Authentication
Com4QLBEx.exe	HP Quick Launch
CommonFileStore	SCApplications Performance Data Collector
Companion.exe	AOL Connection Suite
ComproRemote.exe	Compro Tech Video Mate TV Remote Control
ComproSchedulerDTV.exe	Compro Tech Video Mate TV Remote Control
ConfRoom.exe	Conference Room 1.5
Config-Transfer.exe	Solarwinds tool
Config_Download.exe	Solarwinds tool
Config_Upload.exe	Solarwinds tool
ConquerCam.exe	ConquerCam
Console.exe	!!! Panda !!!
ContLogColl.exe	Force Computers GmbH ContLC Service
ContentReplicator.exe	IS3 Satcom/Telecom Software
Contig.exe	+++ Potential Admin/Analyst Tool +++
Contig64.exe	+++ Potential Admin/Analyst Tool +++
Control.exe	Control Panel
CoreShredder.exe	HP File Sanitizer
Coreinfo.exe	+++ Potential Admin/Analyst Tool +++
CorelDRW.exe	CorelDRAW Graphics Suite 13
CoverDesigner.exe	Ahead Nero CD Cover Designer
CpSvc.exe	Citrix VM Server
CpqEAKSystemTray.exe	Compaq Easy Access Button Support
CpqRcmc.exe	Compaq Remote Monitor Service
Cpqriis.exe	HP ProLiant Rack Infrastructure Interface Service
Cpqset.exe	Hewlett Packard Configuration Module
Csrrs.exe	??? W32.Gaobot.AO Worm Virus Trojan ???
Ctmix32.exe	Creative Labs Mixer
CtrITService.ex	ControlIT
CtxSFOSvc.exe	Citrix VM Server
Cvd.exe	CrystalTech CommVault Backup
D4.exe	Dimension 4 Clock Adjuster
DACMON.exe	Disk array controler driver
DAO_Log.exe	!!! McAfee DAO Logger !!!
DBASVR.exe	Backup Agent RPC Server?
DBENG.EXE	ARCserveIT Database Engine
DBM.exe	InterSystems MSM Workstation
DBSNMP.EXE	Oracle Intelligent Agent
DCNSV.exe	SC DCN monitor
DCServer.exe	Huawei T2000 Element Mgmt Software
DCService.exe	Huawei Datacard Service
DDHELP.EXE	Direct Draw Help
DDWMon.exe	TOSHIBA Direct Disc Writer
DFSRS.exe	Distributed File System Replication
DFSRs.exe	Distributed File System Replication Service
DFServ.exe	Faronics DeepFreeze
DGBoard.exe	Hitachi Starboard Application
DHCP-Scope-Monitor.exe	Solarwinds tool
DIRECTCD.EXE	Adaptec Direct CD
DIServer.exe	CiscoWorks
DKSERVICE.EXE	Diskeeper
DKService.exe	Diskeeper
DLServer.exe	DeviceLock Enterprise Service
DLService.exe	!!! SmartLine DeviceLock Service !!!
DLTray.EXE	!!! SmartLine DeviceLock !!!
DLTray.exe	!!! SmartLine DeviceLock Tray Notifier !!!
DM3Config.exe	Dialogic Host Media Processing
DMWakeup.exe	Panasonic Device Monitor
DNS-Analyzer.exe	Solarwinds tool
DNS-Audit.exe	Solarwinds tool
DNTUS26.exe	DameWare NT Utilities
DPMRA.exe	Microsoft Security Center Data Protection Manager
DRWAGNTD.EXE	!!! DrWeb Enterprise !!!
DRWAGNUI.EXE	!!! DrWeb !!!
DRWEB32W.EXE	!!! DrWeb !!!
DRWEBSCD.EXE	!!! DrWeb !!!
DRWEBUPW.EXE	!!! DrWeb !!!
DRWINST.EXE	!!! DrWeb !!!
DRWTSN16.EXE	??? w32.lovgate\@mm Worm Virus Trojan ???
DRWTSN32.EXE	+++ Dr. Watson +++
DRWTSN32.EXE	+++ Dr. Watson +++
DSAMAIN.EXE	Exchange Directory Service
DSES_TX.exe	DSES USB thumb drive encryption
DSMain.exe	!!! 360_Safe !!!
DTIS_Q.exe	GTS diplomatic comms chat system
DTLite.exe	DAEMON Tools Lite
DUMeter.exe	DU Bandwidth Meter
DUMeterSvc.exe	DU Bandwidth Meter
DVDRegionFree.exe	Fengtao DVD Region
DW20.EXE	Windows Error Reporting
DWHWizrd.exe	!!! Symantec !!!
DWHeartbeatMonitor.exe	Weather.com module
DWRCST.EXE	DameWare Remote Control Client
DXA.EXE	Exchange Directory Synchronization Service
DXEnum.exe	Ahead Nero Wave Editor
DataMan.exe	MSC BAM Services
DataMngrUI.exe	Windows Searchqu Toolbar
Database-Maint.exe	Solarwinds tool
Datalog.exe	SC process
DavCData.exe	Microsoft HTTP-DAV common data
Dbgview.exe	+++ Potential Admin/Analyst Tool +++
DeaSvc32.exe	KlientBank Data Exchange Agent
DefWatch.exe	!!! Symantec !!!
Defwatch	!!! Symantec !!!
DellVideoChat.exe	Dell Video Chat
DellWMgr.exe	Dell Webcam Manager
DeploymentAgent.exe	Antigen Enterprise Manager Deployment Agent
DeskAdKeep.exe	??? 180Search Assistant Spyware ???
DeskAdServ.exe	??? 180Search Assistant Spyware ???
Desktops.exe	+++ Potential Admin/Analyst Tool +++
DevDetect.exe	ACD Systems Device Detect
Dfsr.exe	Distributed File System Replication
Dfssvc.exe	Distributed File System
Dictionary.exe	Websters Dictionary
DigitalBoardManager.exe	Hitachi Starboard Application
Directcd.exe	Roxio Easy CD/DVD Creator DirectCD Packet Writing
DisableInactiveUserAccounts.exe	AP/ACS Switch Control
DiskView.exe	+++ Potential Admin/Analyst Tool +++
DisplayFusion.exe	DisplayFusion
DjVuReader.exe	DjVuReader Digital Document Reader
DkService.exe	Diskeeper
DolphinCharge.e	!!! GoldenDolphin Chinese IDS !!!
DolphinCharge.exe	!!! GoldenDolphin Chinese IDS !!!
DrgToDsc.exe	Roxio DragTo Disc
Dropbox.exe	DropBox Desktop Client
DrvLsnr.exe	Compaq SoundMAX integrated audio
Dumptimer.exe	Richsoft Dumptimer
DxDebugService.exe	DirectX Debug Service
Dynamics.exe	Microsoft GP
EAPSigner161.exe	Infosec Continent Client VPN
EAUSBKBD.EXE	Compaq USB keyboard
EDLauncher.exe	PROMT Machine Translation System
EFICStoPOINTCustInfo.exe	Mobilink Billing Software
EHttpSrv.exe	!!! Nod32 ESET !!!
EM9STA.exe	System Tray for Winstron NeWeb wireless card
EMAILA~1.EXE	Persist Software Email Agent
EMLPROUI.exe	!!! Omniquad Total Security 3.0.0 !!!
